amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	url	ship-service-level	product-name	sku	asin	number-of-items	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids	payment-method-details	customized-url	customized-page 
S01-5284766-8327966	xjapdqg276	2019-10-25T13:26:28+00:00	2019-10-28T04:16:05+00:00	Shipping	Amazon	Non-Amazon			Standard	"ThinkMax Kids Microphone Toy, Voice Changing and Recording Microphone with Colorful Light Musical Toys (Green)"	MX-326-TO21220E4447-FBA	B01N76O2E9		Unshipped	2																	
112-8905893-0165037	112-8905893-0165037	2019-10-26T06:32:17+00:00	2019-10-26T17:55:45+00:00	Shipped	Amazon	Amazon.com			Expedited	"ThinkMax RC Stunt Car for Kids, 360 Degree Spins Double Sided Driving, 2.4GHz 4WD Remote Control Car Toy Rechargeable with LED Headlights(Blue)"	ZH-PTO_07DJ1ZHK	B07WS8TDX6		Shipped	1	USD	24.99	1.16					10		Fontana	California	92336	US	MPC-S Percentage Off 2019/10/24 9-52-35-164	Standard		
113-5724940-5449844	113-5724940-5449844	2019-10-26T06:26:51+00:00	2019-10-26T17:15:17+00:00	Shipped	Amazon	Amazon.com			Expedited	"ThinkMax Money Maze Puzzle Box, Perfect Puzzle Money Holder and Brain Teasers for Kids and Adults (2 Pack)"	MX-PTO_027TBIWT	B07DC375Z3		Shipped	1	USD	14.99	0.9							LAGRANGE	KY	40031-8696	US		Standard		
114-5118687-3737059	114-5118687-3737059	2019-10-26T06:02:40+00:00	2019-10-26T16:38:30+00:00	Shipped	Amazon	Amazon.com			Expedited	"ThinkMax Face Paint Crayons for Kids, 32 Colors Body & Face Painting Kit, Safe for Sensitive Skin, Great for Halloween, Birthday, School Party"	ZH-PTO_073ZPVL2	B07W3M4VGS		Shipped	1	USD	9.88	0.59	2					2	ASHBURN	VA	20147-4973	US		Standard		
112-4129462-1541042	112-4129462-1541042	2019-10-26T05:19:27+00:00	2019-10-27T03:33:07+00:00	Shipped	Amazon	Amazon.com			Expedited	"ThinkMax Face Paint Crayons for Kids, 32 Colors Body & Face Painting Kit, Safe for Sensitive Skin, Great for Halloween, Birthday, School Party"	ZH-PTO_073ZPVL2	B07W3M4VGS		Shipped	1	USD	9.88	0.91							BERKELEY	CA	94706-2330	US		Standard		
114-8147915-9089853	114-8147915-9089853	2019-10-26T04:39:25+00:00	2019-10-27T00:31:58+00:00	Shipped	Amazon	Amazon.com			Expedited	"ThinkMax Money Maze Puzzle Box, Perfect Puzzle Money Holder and Brain Teasers for Kids and Adults (2 Pack)"	MX-PTO_027TBIWT	B07DC375Z3		Shipped	1	USD	14.99	0.77							RIO RANCHO	NM	87124-8933	US		Standard		
114-2736477-5005021	114-2736477-5005021	2019-10-26T04:31:25+00:00	2019-10-27T00:27:23+00:00	Shipped	Amazon	Amazon.com			Expedited	"ThinkMax 10pcs Cute Animal Finger Puppets Set for Baby, Infant, Toddlers, Kids, Story Time, Shows, Playtime, Schools (10pcs)"	MX-PTO_01QAL1H0	B07BFTTK6X		Shipped	4	USD	31.96	3.2							RENTON	WA	98056	US		Standard		
112-0175800-7317860	112-0175800-7317860	2019-10-26T04:14:51+00:00	2019-10-26T16:56:05+00:00	Shipped	Amazon	Amazon.com			Expedited	"ThinkMax RC Stunt Car for Kids, 360 Degree Spins Double Sided Driving, 2.4GHz 4WD Remote Control Car Toy Rechargeable with LED Headlights(Blue)"	ZH-PTO_07DJ1ZHK	B07WS8TDX6		Shipped	1	USD	24.99								WAUKESHA	WI	53186-2766	US		Standard		
114-6148534-9662624	114-6148534-9662624	2019-10-26T04:11:16+00:00	2019-10-27T07:42:22+00:00	Shipped	Amazon	Amazon.com			Expedited	"ThinkMax Dentist kit, 15 Pcs Pretend Dentist Play Set Toy for Kids and Toddlers"	MX-PTO_01P24TRK	B079KFHHRC		Shipped	1	USD	12.84	0.87							WICHITA FALLS	TX	76310-0482	US		Standard		
114-3112929-1311434	114-3112929-1311434	2019-10-26T03:40:57+00:00	2019-10-27T19:32:52+00:00	Shipped	Amazon	Amazon.com			Expedited	"ThinkMax Dentist kit, 15 Pcs Pretend Dentist Play Set Toy for Kids and Toddlers"	MX-PTO_01P24TRK	B079KFHHRC		Shipped	1	USD	12.84	0.9							OTTUMWA	IA	52501-3925	US		Standard		
