amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	url	ship-service-level	product-name	sku	asin	number-of-items	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids	payment-method-details	customized-url	customized-page 
113-7816756-3629007	113-7816756-3629007	2019-10-30T06:34:38+00:00	2019-10-30T06:34:44+00:00	Pending	Amazon	Amazon.com			Standard	"ThinkMax Baby Wrist Rattles, 4 pcs Animal Soft Wrist Rattles and Foot Finders Sock Set - Monkey and Elephant (Blue)"	QX-WE9M-9ZTR	B01N68WJBF		Unshipped	1	USD	7.5								EAST PALO ALTO	CA	94303-1509	US		Standard		
112-6625338-0642623	112-6625338-0642623	2019-10-30T06:19:36+00:00	2019-10-30T06:19:43+00:00	Pending	Amazon	Amazon.com			Expedited	"ThinkMax Face Paint Crayons for Kids, 32 Colors Face Painting Kit, Safe & Non-Toxic Face Body Crayons, Great for Halloween, Birthday, School Party"	ZH-PTO_073ZPVL2	B07W3M4VGS		Unshipped	1	USD	9.88								ROSEDALE	MD	21237-5004	US		Standard		
112-5532953-4454638	112-5532953-4454638	2019-10-30T05:54:35+00:00	2019-10-30T05:54:40+00:00	Pending	Amazon	Amazon.com			Expedited	"ThinkMax Face Paint Crayons for Kids, 32 Colors Face Painting Kit, Safe & Non-Toxic Face Body Crayons, Great for Halloween, Birthday, School Party"	ZH-PTO_073ZPVL2	B07W3M4VGS		Unshipped	1	USD	9.88								SAN RAFAEL	CA	94903-3208	US		Standard		
112-5320697-8425047	112-5320697-8425047	2019-10-30T05:54:25+00:00	2019-10-30T05:54:34+00:00	Pending	Amazon	Amazon.com			Expedited	"ThinkMax Kids Travel Tray, Toddler Car Seat Activity Tray, Child Snack & Play Tray Organizer, Waterproof & Foldable, No-Drop Tablet iPad Holder Stand"	ZH-PTO_06FRUC43	B07W3LF4HR		Unshipped	1	USD	21.99								CARROLLTON	TX	75010-4769	US		Standard		
111-9699432-7056241	111-9699432-7056241	2019-10-30T05:53:38+00:00	2019-10-30T05:53:42+00:00	Pending	Amazon	Amazon.com			Expedited	"ThinkMax RC Stunt Car for Kids, 360 Degree Spins Double Sided Driving, 2.4GHz 4WD Remote Control Car Toy Rechargeable with LED Headlights(Blue)"	ZH-PTO_07DJ1ZHK	B07WS8TDX6		Unshipped	1	USD	24.99								HENDERSON	NV	89011-2545	US	VPC-1-98882601 Coupon	Standard		
113-8483245-4383440	113-8483245-4383440	2019-10-30T05:50:50+00:00	2019-10-30T05:50:54+00:00	Pending	Amazon	Amazon.com			Expedited	"RCtown Brushless Drone Support Gopro Action Cameras, RC Quadcopter MJX Bugs 3 Drone for Experienced, 18 Minutes Flying Time, 300 Meters Long Control R"	MX-TO21228V6651	B01N012YWY		Unshipped	1	USD	66.99								AUGUSTA	GA	30909-4506	US		Standard		
113-4098713-2641838	113-4098713-2641838	2019-10-30T05:21:15+00:00	2019-10-30T05:21:20+00:00	Pending	Amazon	Amazon.com			Expedited	"ThinkMax 4 Pcs Children Wooden Jigsaw Pegged Puzzle Board Toy Educational and Learning Puzzles Toy - Number, Vegetable, Village and Animal"	MX-320-TO2122H334M1-FBA	B01N1EJHPZ		Unshipped	1	USD	15.99								BRONX	NY	10467-9438	US		Standard		
114-1282597-0820262	114-1282597-0820262	2019-10-30T05:07:14+00:00	2019-10-30T05:07:29+00:00	Pending	Amazon	Amazon.com			Expedited	"ThinkMax Dentist kit, 15 Pcs Pretend Dentist Play Set Toy for Kids and Toddlers"	MX-PTO_01P24TRK	B079KFHHRC		Unshipped	1	USD	12.84								CASTLE ROCK	CO	80109-3572	US		Standard		
113-6558624-7854623	113-6558624-7854623	2019-10-30T04:30:37+00:00	2019-10-30T04:30:45+00:00	Pending	Amazon	Amazon.com			Expedited	"ThinkMax 16 Pack Soft Plush Finger Puppets Set - MANSA 10 Animals + 6 People Family Members Velvet Cute Toys for Children, Story Time, Shows, Playtime"	MX-254-ST2122M20930-FBA	B01N01T0M6		Unshipped	1	USD	8.89								NORTH LAS VEGAS	NV	89031-6601	US		Standard		
112-6871265-1802660	112-6871265-1802660	2019-10-30T04:23:14+00:00	2019-10-30T04:23:24+00:00	Pending	Amazon	Amazon.com			Standard	"ThinkMax Dentist kit, 15 Pcs Pretend Dentist Play Set Toy for Kids and Toddlers"	MX-PTO_01P24TRK	B079KFHHRC		Unshipped	1	USD	12.84								Sumas	Washington	98295	US	US Core Free Shipping Promotion A3JU1FCINF5SD0	Standard		
114-2265430-6456226	114-2265430-6456226	2019-10-30T04:14:52+00:00	2019-10-30T04:14:56+00:00	Pending	Amazon	Amazon.com			Expedited	"ThinkMax Dentist kit, 15 Pcs Pretend Dentist Play Set Toy for Kids and Toddlers"	MX-PTO_01P24TRK	B079KFHHRC		Unshipped	1	USD	12.84								NEW YORK	NY	10002-3373	US		Standard		
112-4014727-6389002	112-4014727-6389002	2019-10-30T04:09:01+00:00	2019-10-30T04:09:05+00:00	Pending	Amazon	Amazon.com			Expedited	"ThinkMax Wrist Rattles for Babies, 4 Pieces Baby Wrist Rattle and Foot Rattles Finder Socks Monkey and Elephant Toys Set (Purple)"	MX-PH2122AD2G67	B079KTJT3C		Unshipped	1	USD	9.99								Cincinnati	OH	45212	US		Standard		
114-7667880-9025813	114-7667880-9025813	2019-10-30T03:31:11+00:00	2019-10-30T06:19:26+00:00	Shipped	Amazon	Amazon.com			Expedited	ThinkMax 24 Pack Mini Animal Plush Toy Assortment for Kids Party Favors	SZL-PTO_048OPIWZ	B07MM1K2PW		Shipped	1	USD	14.99	1.09							SANTA ROSA VALLEY	CA	93012-9378	US		Standard		
114-1183552-6943421	114-1183552-6943421	2019-10-30T03:29:19+00:00	2019-10-30T06:40:52+00:00	Pending	Amazon	Amazon.com			Expedited	"ThinkMax Dentist kit, 15 Pcs Pretend Dentist Play Set Toy for Kids and Toddlers"	MX-PTO_01P2C8GH	B07J9WL1VY		Unshipped	1	USD	12.99								Edison	Nj	8820	US		Standard		
111-0865982-7261858	111-0865982-7261858	2019-10-30T03:25:53+00:00	2019-10-30T06:31:16+00:00	Shipped	Amazon	Amazon.com			Expedited	ThinkMax 24 Pack Mini Animal Plush Toy Assortment for Kids Party Favors	SZL-PTO_048OPIWZ	B07MM1K2PW		Shipped	1	USD	14.99	1.16							SAN DIEGO	CA	92104-5726	US		Standard		
114-4672411-5136230	114-4672411-5136230	2019-10-30T03:22:13+00:00	2019-10-30T03:22:18+00:00	Pending	Amazon	Amazon.com			Expedited	ThinkMax 24 Pack Mini Animal Plush Toy Assortment for Kids Party Favors	SZL-PTO_048OPIWZ	B07MM1K2PW		Unshipped	1	USD	14.99								TOMAH	WI	54660-2911	US		Standard		
112-1694091-4741828	112-1694091-4741828	2019-10-30T03:04:42+00:00	2019-10-30T03:33:57+00:00	Pending	Amazon	Amazon.com			Expedited	"ThinkMax Kids Microphone Toy, Voice Changing and Recording Microphone with Colorful Light Musical Toys (Green)"	MX-326-TO21220E4447-FBA	B01N76O2E9		Unshipped	1	USD	12.99								MOUNTAIN VIEW	CA	94043-6580	US	VPC-1-98621021 Coupon	Standard		
112-5231902-5281823	112-5231902-5281823	2019-10-30T02:59:39+00:00	2019-10-30T02:59:43+00:00	Pending	Amazon	Amazon.com			Expedited	"ThinkMax Face Paint Crayons for Kids, 32 Colors Face Painting Kit, Safe & Non-Toxic Face Body Crayons, Great for Halloween, Birthday, School Party"	ZH-PTO_073ZPVL2	B07W3M4VGS		Unshipped	1	USD	9.88								SEATTLE	WA	98107-4917	US		Standard		
112-6188542-8717000	112-6188542-8717000	2019-10-30T02:39:03+00:00	2019-10-30T02:39:15+00:00	Pending	Amazon	Amazon.com			Expedited	ThinkMax Money Maze Puzzle Box for Kids and Adults - Unique Way to Give Gifts for People You Love - Fun and Inexpensive Game Challenge for Children Bi	I6-O664-R7YT	B0769M7TCS		Unshipped	1	USD	7.99								MOUNT VERNON	IL	62864-7143	US		Standard		
114-0271088-2694656	114-0271088-2694656	2019-10-30T02:37:14+00:00	2019-10-30T02:39:47+00:00	Pending	Amazon	Amazon.com			Standard	"ThinkMax Dentist kit, 15 Pcs Pretend Dentist Play Set Toy for Kids and Toddlers"	MX-PTO_01P24TRK	B079KFHHRC		Unshipped	1	USD	12.84								CHESAPEAKE	VA	23324-2836	US		Standard		
113-4488340-1514646	113-4488340-1514646	2019-10-30T02:36:45+00:00	2019-10-30T02:36:50+00:00	Pending	Amazon	Amazon.com			Expedited	ThinkMax Money Maze Puzzle Box for Kids and Adults - Unique Way to Give Gifts for People You Love - Fun and Inexpensive Game Challenge for Children Bi	MX-PTO_027TPFHQ	B07KB2P633		Unshipped	3	USD	18.99								WINDSOR	CO	80550-3574	US		Standard		
111-0411171-1945845	111-0411171-1945845	2019-10-30T02:31:47+00:00	2019-10-30T02:31:54+00:00	Pending	Amazon	Amazon.com			Expedited	ThinkMax Money Maze Puzzle Box for Kids and Adults - Unique Way to Give Gifts for People You Love - Fun and Inexpensive Game Challenge for Children Bi	I6-O664-R7YT	B0769M7TCS		Unshipped	1	USD	7.99								AUMSVILLE	OR	97325-9590	US		Standard		
113-8243044-3495427	113-8243044-3495427	2019-10-30T02:24:40+00:00	2019-10-30T02:24:45+00:00	Pending	Amazon	Amazon.com			Expedited	"ThinkMax Face Paint Crayons for Kids, 32 Colors Face Painting Kit, Safe & Non-Toxic Face Body Crayons, Great for Halloween, Birthday, School Party"	ZH-PTO_073ZPVL2	B07W3M4VGS		Unshipped	1	USD	9.88								DELAND	FL	32720-8647	US	Percentage Off 2019/10/17 7-9-35-585	Standard		
111-7479378-5353051	111-7479378-5353051	2019-10-30T02:17:08+00:00	2019-10-30T02:17:15+00:00	Pending	Amazon	Amazon.com			Expedited	"ThinkMax 4 Pcs Children Wooden Jigsaw Pegged Puzzle Board Toy Educational and Learning Puzzles Toy - Number, Vegetable, Village and Animal"	MX-320-TO2122H334M1-FBA	B01N1EJHPZ		Unshipped	1	USD	15.99								SHREWSBURY	PA	17361-1804	US		Standard		
